#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
378985:9474,04/06/24 00:24:34,768,HLT_DiPFJetAve200_v20,0.000000719,0.000000709
378993:9475,04/06/24 08:01:17,79,HLT_DiPFJetAve200_v20,0.000000220,0.000000214
379011:9475,04/06/24 11:58:18,399,HLT_DiPFJetAve200_v20,0.000001442,0.000001304
379012:9475,04/06/24 14:37:43,73,HLT_DiPFJetAve200_v20,0.000000236,0.000000233
379028:9476,04/06/24 19:56:15,534,HLT_DiPFJetAve200_v20,0.000002167,0.000002116
379031:9476,04/07/24 00:02:34,289,HLT_DiPFJetAve200_v20,0.000001083,0.000001060
379058:9479,04/07/24 09:34:30,826,HLT_DiPFJetAve200_v20,0.000028448,0.000027708
379075:9483,04/08/24 02:29:09,375,HLT_DiPFJetAve200_v20,0.000011894,0.000011619
379154:9485,04/08/24 22:13:02,1049,HLT_DiPFJetAve200_v20,0.000032946,0.000032154
379238:9496,04/10/24 16:44:48,286,HLT_DiPFJetAve200_v20,0.000050240,0.000048492
379243:9497,04/10/24 20:30:21,299,HLT_DiPFJetAve200_v20,0.000055738,0.000054816
379252:9499,04/11/24 01:57:11,644,HLT_DiPFJetAve200_v20,0.000130613,0.000127561
379253:9499,04/11/24 06:08:54,104,HLT_DiPFJetAve200_v20,0.000022553,0.000022245
379338:9510,04/12/24 14:27:21,170,HLT_DiPFJetAve200_v20,0.000036860,0.000033352
379774:9549,04/21/24 03:13:58,157,HLT_DiPFJetAve200_v20,0.000148869,0.000141928
379355:9512,04/13/24 03:39:10,20,HLT_DiPFJetAve200_v20,0.000008620,0.000008193
379416:9517,04/14/24 17:34:18,195,HLT_DiPFJetAve200_v20,0.000120640,0.000113329
379420:9518,04/14/24 21:02:55,516,HLT_DiPFJetAve200_v20,0.000320455,0.000302615
379425:9519,04/15/24 02:03:52,203,HLT_DiPFJetAve200_v20,0.000111286,0.000104750
379433:9520,04/15/24 05:13:11,21,HLT_DiPFJetAve200_v20,0.000004131,0.000003764
379442:9521,04/15/24 07:07:46,269,HLT_DiPFJetAve200_v20,0.000160355,0.000150934
379454:9523,04/15/24 11:25:22,498,HLT_DiPFJetAve200_v20,0.000310286,0.000282176
379456:9523,04/15/24 14:47:09,1199,HLT_DiPFJetAve200_v20,0.000611051,0.000574086
379470:9525,04/16/24 00:38:26,800,HLT_DiPFJetAve200_v20,0.000508893,0.000478638
379530:9530,04/17/24 01:12:13,593,HLT_DiPFJetAve200_v20,0.000548402,0.000512443
379618:9537,04/18/24 08:43:50,360,HLT_DiPFJetAve200_v20,0.000293298,0.000282504
379660:9539,04/18/24 16:49:04,1507,HLT_DiPFJetAve200_v20,0.001246868,0.001201968
379661:9539,04/19/24 02:37:20,406,HLT_DiPFJetAve200_v20,0.000230886,0.000227794
379729:9543,04/19/24 17:38:45,1465,HLT_DiPFJetAve200_v20,0.001314760,0.001274506
379765:9548,04/20/24 14:03:25,1695,HLT_DiPFJetAve200_v20,0.001593546,0.001514249
379866:9559,04/23/24 20:37:55,1347,HLT_DiPFJetAve200_v20,0.000806620,0.000785277
379984:9562,04/25/24 11:47:58,913,HLT_DiPFJetAve200_v20,0.000684277,0.000665280
380001:9564,04/25/24 20:39:17,691,HLT_DiPFJetAve200_v20,0.000686313,0.000662373
380005:9565,04/26/24 03:10:19,1062,HLT_DiPFJetAve200_v20,0.001053809,0.001010104
380007:9565,04/26/24 10:12:08,129,HLT_DiPFJetAve200_v20,0.000105731,0.000100511
380029:9566,04/26/24 15:02:20,55,HLT_DiPFJetAve200_v20,0.000032194,0.000029678
380030:9566,04/26/24 15:37:30,346,HLT_DiPFJetAve200_v20,0.000418067,0.000396710
