#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
378981:9473,04/05/24 16:26:33,779,779,0.000225883,0.000216302^M
378985:9474,04/06/24 00:24:34,768,768,0.000256997,0.000253446^M
378993:9475,04/06/24 08:01:17,80,79,0.000082038,0.000078608^M
378994:9475,04/06/24 08:35:14,27,27,0.000036422,0.000035032^M
378995:9475,04/06/24 08:48:26,25,25,0.000038980,0.000037298^M
378996:9475,04/06/24 09:00:58,23,23,0.000037814,0.000036601^M
378997:9475,04/06/24 09:12:52,22,22,0.000035654,0.000034889^M
378998:9475,04/06/24 09:24:32,23,22,0.000040640,0.000037615^M
378999:9475,04/06/24 09:36:18,24,24,0.000041849,0.000039620^M
379000:9475,04/06/24 09:48:29,23,23,0.000039471,0.000038364^M
379001:9475,04/06/24 10:00:48,23,23,0.000038826,0.000036297^M
379002:9475,04/06/24 10:12:36,2,2,0.000003336,0.000000273^M
379003:9475,04/06/24 10:15:00,27,27,0.000044655,0.000041125^M
379004:9475,04/06/24 10:28:03,25,25,0.000040672,0.000038668^M
379005:9475,04/06/24 10:40:36,23,23,0.000036804,0.000035013^M
379006:9475,04/06/24 10:52:20,24,24,0.000037796,0.000035499^M
379007:9475,04/06/24 11:04:31,23,23,0.000035589,0.000034119^M
379008:9475,04/06/24 11:16:37,23,23,0.000035127,0.000033867^M
379009:9475,04/06/24 11:28:47,22,22,0.000033094,0.000032211^M
379010:9475,04/06/24 11:40:32,23,23,0.000034094,0.000032505^M
379011:9475,04/06/24 11:58:18,399,399,0.000528650,0.000478000^M
379012:9475,04/06/24 14:37:43,73,73,0.000086414,0.000085233^M
379028:9476,04/06/24 19:56:15,534,534,0.000794943,0.000776391^M
379029:9476,04/06/24 23:25:47,67,67,0.000101122,0.000052865^M
379030:9476,04/06/24 23:55:39,6,6,0.000008859,0.000000013^M
379031:9476,04/07/24 00:02:34,289,289,0.000397055,0.000388769^M
379058:9479,04/07/24 09:34:30,826,826,0.010204197,0.009938545^M
379075:9483,04/08/24 02:29:09,375,375,0.004270156,0.004171347^M
379154:9485,04/08/24 22:13:02,1049,1049,0.011836209,0.011546364^M
379238:9496,04/10/24 16:44:24,286,286,0.017759758,0.017144085^M
379243:9497,04/10/24 20:30:21,297,297,0.019732809,0.019406267^M
379252:9499,04/11/24 01:57:11,644,644,0.046225276,0.045144755^M
379253:9499,04/11/24 06:08:54,104,104,0.007978453,0.007869393^M
379315:9509,04/12/24 06:45:09,250,250,0.015757904,0.015588600^M
379316:9509,04/12/24 08:26:42,2,2,0.000154142,0.000135584^M
379317:9509,04/12/24 10:04:56,5,5,0.000382095,0.000356720^M
379318:9509,04/12/24 10:09:56,86,86,0.006596404,0.006517467^M
379337:9510,04/12/24 13:14:35,181,181,0.010686266,0.009600924^M
379338:9510,04/12/24 14:27:21,170,170,0.013040238,0.011799243^M
379349:9512,04/12/24 21:25:43,311,311,0.043859811,0.042661697^M
379350:9512,04/12/24 23:29:01,228,228,0.037119921,0.036305844^M
379355:9512,04/13/24 03:39:10,20,20,0.003057203,0.002905896^M
379415:9517,04/14/24 17:21:35,28,28,0.002214027,0.001339477^M
379416:9517,04/14/24 17:34:19,225,225,0.049169003,0.044620606^M
379420:9518,04/14/24 21:02:55,517,517,0.114202028,0.107781746^M
379425:9519,04/15/24 02:03:52,203,203,0.039595383,0.037268225^M
379433:9520,04/15/24 05:13:11,21,21,0.001476618,0.001344870^M
379442:9521,04/15/24 07:07:46,269,269,0.056998984,0.053648142^M
379454:9523,04/15/24 11:25:22,508,508,0.112671810,0.102218472^M
379456:9523,04/15/24 14:47:09,1199,1199,0.217334035,0.204192337^M
379470:9525,04/16/24 00:38:26,800,800,0.180785035,0.170022690^M
379530:9530,04/17/24 01:12:13,593,593,0.200431865,0.187257478^M
379613:9537,04/18/24 03:20:17,129,129,0.036666624,0.031799823^M
379614:9537,04/18/24 04:12:30,2,2,0.000731253,0.000000245^M
379615:9537,04/18/24 04:15:35,5,5,0.001830032,0.000000382^M
379616:9537,04/18/24 04:19:58,3,3,0.001089511,0.000020748^M
379617:9537,04/18/24 04:23:35,665,665,0.236314288,0.221913399^M
379618:9537,04/18/24 08:43:50,360,360,0.107196602,0.103251304^M
379660:9539,04/18/24 16:49:04,1507,1507,0.455714067,0.439301490^M
379661:9539,04/19/24 02:37:20,406,406,0.084385782,0.083255560^M
379729:9543,04/19/24 17:38:45,1466,1466,0.480900275,0.466178531^M
379765:9548,04/20/24 14:03:25,1696,1696,0.582820121,0.553822478^M
379766:9548,04/21/24 01:05:48,3,3,0.000718634,0^M
379774:9549,04/21/24 03:13:58,156,156,0.054006386,0.051479327^M
379866:9559,04/23/24 20:37:55,1337,1337,0.294892908,0.287087338^M
379984:9562,04/25/24 11:47:58,913,913,0.250092388,0.243144293^M
380001:9564,04/25/24 20:39:17,692,692,0.251207045,0.242448778^M
380005:9565,04/26/24 03:10:19,1069,1069,0.387809724,0.370202775^M
380006:9565,04/26/24 10:09:58,2,2,0.000621394,0.000006064^M
380007:9565,04/26/24 10:12:08,129,129,0.038643370,0.036735563^M
