#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
367619:8782,05/17/23 08:19:47,577,HLT_DiPFJetAve80_HFJEC_v19,0.000051822,0.000049969
367615:8782,05/17/23 02:49:11,432,HLT_DiPFJetAve80_HFJEC_v19,0.000047003,0.000044552
367554:8775,05/16/23 02:39:53,312,HLT_DiPFJetAve80_HFJEC_v19,0.000035530,0.000033636
367553:8775,05/15/23 22:27:38,644,HLT_DiPFJetAve80_HFJEC_v19,0.000075220,0.000071309
367552:8775,05/15/23 22:21:36,11,HLT_DiPFJetAve80_HFJEC_v19,0.000000308,0.000000243
367516:8773,05/15/23 09:48:44,1236,HLT_DiPFJetAve80_HFJEC_v19,0.000119241,0.000112704
367515:8773,05/15/23 05:38:07,625,HLT_DiPFJetAve80_HFJEC_v19,0.000068854,0.000063883
367477:8771,05/14/23 14:23:22,1289,HLT_DiPFJetAve80_HFJEC_v19,0.000111578,0.000107272
367475:8771,05/14/23 10:33:10,579,HLT_DiPFJetAve80_HFJEC_v19,0.000065724,0.000060232
367416:8754,05/13/23 03:40:55,55,HLT_DiPFJetAve80_HFJEC_v19,0.000003394,0.000003240
367415:8754,05/13/23 02:52:02,97,HLT_DiPFJetAve80_HFJEC_v19,0.000006242,0.000006042
367413:8754,05/12/23 18:13:16,1294,HLT_DiPFJetAve80_HFJEC_v19,0.000117811,0.000111186
367337:8746,05/11/23 12:49:42,1046,HLT_DiPFJetAve80_HFJEC_v19,0.000082029,0.000078966
367336:8746,05/11/23 11:40:58,169,HLT_DiPFJetAve80_HFJEC_v19,0.000018246,0.000017366
367315:8741,05/10/23 21:11:42,893,HLT_DiPFJetAve80_HFJEC_v19,0.000071031,0.000067984
367314:8741,05/10/23 20:55:00,20,HLT_DiPFJetAve80_HFJEC_v19,0.000001884,0.000001724
367312:8741,05/10/23 19:23:55,216,HLT_DiPFJetAve80_HFJEC_v19,0.000012493,0.000011712
367271:8739,05/10/23 12:08:10,135,HLT_DiPFJetAve80_HFJEC_v19,0.000008400,0.000008061
367270:8739,05/10/23 05:48:56,961,HLT_DiPFJetAve80_HFJEC_v19,0.000079151,0.000075045
367269:8739,05/10/23 05:33:29,33,HLT_DiPFJetAve80_HFJEC_v19,0.000003089,0.000002607
367264:8738,05/09/23 19:31:14,847,HLT_DiPFJetAve80_HFJEC_v19,0.000063093,0.000060152
367263:8738,05/09/23 19:23:59,12,HLT_DiPFJetAve80_HFJEC_v19,0.000001114,0.000000940
367262:8738,05/09/23 17:32:02,262,HLT_DiPFJetAve80_HFJEC_v19,0.000024613,0.000022938
367260:8738,05/09/23 16:06:48,187,HLT_DiPFJetAve80_HFJEC_v19,0.000014376,0.000013656
367234:8736,05/09/23 06:33:08,501,HLT_DiPFJetAve80_HFJEC_v19,0.000035803,0.000034547
367232:8736,05/08/23 23:59:29,996,HLT_DiPFJetAve80_HFJEC_v19,0.000088923,0.000085126
367231:8736,05/08/23 23:48:31,22,HLT_DiPFJetAve80_HFJEC_v19,0.000002072,0.000001899
367229:8736,05/08/23 23:25:47,34,HLT_DiPFJetAve80_HFJEC_v19,0.000003200,0.000002994
367133:8731,05/08/23 01:12:46,275,HLT_DiPFJetAve80_HFJEC_v19,0.000022931,0.000022003
367131:8731,05/08/23 00:12:34,149,HLT_DiPFJetAve80_HFJEC_v19,0.000010925,0.000010442
