#Data tag : online , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
391668:10590,05/05/25 14:57:04,236,HLT_PFJet40_v34,0.000000422,0.000000400
391670:10590,05/05/25 16:45:51,128,HLT_PFJet40_v34,0.000000343,0.000000312
391671:10590,05/05/25 17:43:18,331,HLT_PFJet40_v34,0.000000975,0.000000891
391688:10590,05/05/25 23:19:31,112,HLT_PFJet40_v34,0.000000242,0.000000238
391698:10591,05/06/25 01:51:41,132,HLT_PFJet40_v34,0.000000318,0.000000310
391699:10591,05/06/25 02:48:49,839,HLT_PFJet40_v34,0.000002146,0.000002102
391700:10591,05/06/25 08:39:31,186,HLT_PFJet40_v34,0.000000475,0.000000462
391825:10606,05/09/25 02:35:35,588,HLT_PFJet40_v34,0.000001435,0.000001333
391826:10606,05/09/25 06:39:59,236,HLT_PFJet40_v34,0.000000641,0.000000622
391869:10611,05/10/25 06:29:21,76,HLT_PFJet40_v34,0.000000099,0.000000089
391870:10611,05/10/25 07:03:27,12,HLT_PFJet40_v34,0.000000030,0.000000023
391871:10611,05/10/25 07:11:38,25,HLT_PFJet40_v34,0.000000066,0.000000065
391873:10611,05/10/25 07:26:29,19,HLT_PFJet40_v34,0.000000051,0.000000050
391874:10611,05/10/25 07:40:00,370,HLT_PFJet40_v34,0.000000973,0.000000937
391884:10611,05/10/25 10:27:44,192,HLT_PFJet40_v34,0.000000501,0.000000488
391906:10612,05/10/25 16:15:52,99,HLT_PFJet40_v34,0.000000144,0.000000135
391909:10612,05/10/25 19:09:42,307,HLT_PFJet40_v34,0.000000795,0.000000749
391910:10612,05/10/25 21:16:48,707,HLT_PFJet40_v34,0.000001795,0.000001748
391912:10612,05/11/25 02:15:19,339,HLT_PFJet40_v34,0.000000705,0.000000688
391949:10616,05/11/25 22:55:11,82,HLT_PFJet40_v34,0.000000183,0.000000174
391950:10616,05/11/25 23:31:33,664,HLT_PFJet40_v34,0.000001714,0.000001668
391951:10616,05/12/25 04:06:36,18,HLT_PFJet40_v34,0.000000046,0.000000044
391952:10616,05/12/25 04:17:13,398,HLT_PFJet40_v34,0.000001004,0.000000970
391953:10616,05/12/25 07:11:36,18,HLT_PFJet40_v34,0.000000030,0.000000026
392030:10623,05/13/25 17:52:40,6,HLT_PFJet40_v34,0.000000010,0.000000007
392046:10623,05/13/25 20:25:26,151,HLT_PFJet40_v34,0.000000414,0.000000399
392052:10623,05/13/25 21:30:14,249,HLT_PFJet40_v34,0.000000705,0.000000681
392067:10623,05/13/25 23:14:50,95,HLT_PFJet40_v34,0.000000269,0.000000260
392071:10623,05/13/25 23:56:34,632,HLT_PFJet40_v34,0.000001640,0.000001585
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_PFJet40_v34,7,29,7247,0.000018170,0.000017456
#
#Sum delivered  : 0.000018170
#Sum recorded : 0.000017456
#Check JSON:
#(run,ls) in json but not in results: [(392046, 112)]
